1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
1.0016394e-14,2.4445047e-13,1.8346501e-12,3.2401273e-12,2.1304767e-11,2.3176934e-10,2.7249355e-11,1.0876435e-10,2.4455251e-10,5.6575775e-11,1.3031417e-10,72.529995
1.0009236e-14,2.4393486e-13,1.828472e-12,3.2180033e-12,2.1151039e-11,2.2697424e-10,2.6674211e-11,1.0663033e-10,2.0329568e-10,5.3434803e-11,1.1741355e-10,75.83995
1.0001962e-14,2.4340238e-13,1.8217383e-12,3.1951741e-12,2.0990826e-11,2.2237516e-10,2.6088256e-11,1.0447036e-10,1.7373903e-10,5.0352989e-11,1.0616502e-10,79.300958
9.9942123e-15,2.4285539e-13,1.8147833e-12,3.1716192e-12,2.0824046e-11,2.1792753e-10,2.5492235e-11,1.0228363e-10,1.5388394e-10,4.7357173e-11,9.6346487e-11,82.91991
9.9858047e-15,2.4229664e-13,1.8079957e-12,3.1473211e-12,2.0650642e-11,2.1356349e-10,2.4886695e-11,1.000688e-10,1.4192672e-10,4.4453442e-11,8.7683005e-11,86.704016
9.9767882e-15,2.4172653e-13,1.8014667e-12,3.1222609e-12,2.0470599e-11,2.0918955e-10,2.4272189e-11,9.7823617e-11,1.3626363e-10,4.1647003e-11,8.0027225e-11,90.660813
9.9672476e-15,2.41144e-13,1.7951032e-12,3.0964184e-12,2.028391e-11,2.0471997e-10,2.3649298e-11,9.5546758e-11,1.355078e-10,3.894365e-11,7.3204066e-11,94.79818
9.9573011e-15,2.4054759e-13,1.788774e-12,3.069774e-12,2.0090486e-11,2.0016235e-10,2.3018622e-11,9.3238842e-11,1.3839059e-10,3.6352566e-11,6.7094645e-11,99.124359
9.9471077e-15,2.3993543e-13,1.7823029e-12,3.0423169e-12,1.9890237e-11,1.9554902e-10,2.2380796e-11,9.0900768e-11,1.4385827e-10,3.3872309e-11,6.1638084e-11,103.64797
9.9368749e-15,2.3930504e-13,1.7754593e-12,3.0140393e-12,1.96831e-11,1.9091809e-10,2.1737068e-11,8.8534206e-11,1.5094774e-10,3.1502267e-11,5.6784514e-11,108.37801
9.9268605e-15,2.3865412e-13,1.7680343e-12,2.9849348e-12,1.946905e-11,1.8628271e-10,2.1089278e-11,8.6139125e-11,1.5897716e-10,2.9260168e-11,5.2483169e-11,113.32391
9.9172016e-15,2.3798215e-13,1.7600159e-12,2.9549965e-12,1.9248101e-11,1.8163419e-10,2.0438006e-11,8.3715261e-11,1.6720263e-10,2.7130302e-11,4.8651747e-11,118.49553
9.9078736e-15,2.3728898e-13,1.7514438e-12,2.9242111e-12,1.9020267e-11,1.7695845e-10,1.9783203e-11,8.1266661e-11,1.7514823e-10,2.5106684e-11,4.5168408e-11,123.90315
9.898822e-15,2.3657455e-13,1.7423787e-12,2.8925616e-12,1.8785604e-11,1.7224728e-10,1.9126376e-11,7.8797697e-11,1.8244637e-10,2.3206112e-11,4.1892757e-11,129.55756
9.8899635e-15,2.3583889e-13,1.7329069e-12,2.8600287e-12,1.8544235e-11,1.6750758e-10,1.8469434e-11,7.630978e-11,1.8874556e-10,2.1408726e-11,3.8774156e-11,135.47
9.8811784e-15,2.3508209e-13,1.7231456e-12,2.8265983e-12,1.8296338e-11,1.6274798e-10,1.7813441e-11,7.3805702e-11,1.9385488e-10,1.974107e-11,3.5819857e-11,141.65227
9.8723041e-15,2.3430397e-13,1.7131974e-12,2.7922846e-12,1.804203e-11,1.5797624e-10,1.7159173e-11,7.1290511e-11,1.9763971e-10,1.8158986e-11,3.3039067e-11,148.11666
9.8632036e-15,2.3350316e-13,1.7030521e-12,2.7571144e-12,1.778114e-11,1.5319625e-10,1.6507923e-11,6.876988e-11,2.0001918e-10,1.6691783e-11,3.0437716e-11,154.87607
9.8538579e-15,2.326778e-13,1.6926715e-12,2.7211139e-12,1.7513392e-11,1.4840953e-10,1.5861424e-11,6.6246151e-11,2.0098776e-10,1.5326201e-11,2.8017414e-11,161.94394
